type,geometry.type,geometry.coordinates,properties.id_station,properties.denominazione,properties.rete,properties.interesse_rete,properties.tipologia_di_stazione,properties.tipologia_di_area,properties.comune,properties.provincia,properties.paese,properties.paese_esteso,properties.inquinante_misurato,properties.valore_inquinante_misurato,properties.limite,properties.superamenti,properties.unita_misura,properties.indice_qualita,properties.data_di_misurazione,properties.responsabile_dato,properties.punto_di_contatto,properties.sorgente,properties.version,properties.marker-color,properties.name
Feature,Point,"[16.745277, 41.079166]",106,Bitonto - EN01,RRQA,PRIVATO,Industriale,Suburbana,Bitonto,Bari,IT,Italy,PM2.5,7.0,25.0,15,µg/m³,28.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Bitonto - EN01
Feature,Point,"[16.92073, 40.953156]",65,Casamassima - LaPenna,RRQA,PUBBLICO,Fondo,Suburbana,Casamassima,Bari,IT,Italy,NO2,21.0,200.0,0,µg/m³,11.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Casamassima - LaPenna
Feature,Point,"[16.92073, 40.953156]",65,Casamassima - LaPenna,RRQA,PUBBLICO,Fondo,Suburbana,Casamassima,Bari,IT,Italy,O3,113.0,180.0,0,µg/m³,63.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#9acc00,Casamassima - LaPenna
Feature,Point,"[16.92073, 40.953156]",65,Casamassima - LaPenna,RRQA,PUBBLICO,Fondo,Suburbana,Casamassima,Bari,IT,Italy,PM10,13.0,50.0,3,µg/m³,26.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Casamassima - LaPenna
Feature,Point,"[16.92073, 40.953156]",65,Casamassima - LaPenna,RRQA,PUBBLICO,Fondo,Suburbana,Casamassima,Bari,IT,Italy,PM2.5,7.0,25.0,8,µg/m³,28.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Casamassima - LaPenna
Feature,Point,"[16.766111, 41.107777]",97,Modugno - EN02,RRQA,PUBBLICO,Industriale,Suburbana,Modugno,Bari,IT,Italy,CO,0.4,10.0,0,mg/m³,4.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Modugno - EN02
Feature,Point,"[16.766111, 41.107777]",97,Modugno - EN02,RRQA,PUBBLICO,Industriale,Suburbana,Modugno,Bari,IT,Italy,NO2,28.0,200.0,0,µg/m³,14.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Modugno - EN02
Feature,Point,"[16.766111, 41.107777]",97,Modugno - EN02,RRQA,PUBBLICO,Industriale,Suburbana,Modugno,Bari,IT,Italy,O3,115.0,180.0,0,µg/m³,64.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#9acc00,Modugno - EN02
Feature,Point,"[16.766111, 41.107777]",97,Modugno - EN02,RRQA,PUBBLICO,Industriale,Suburbana,Modugno,Bari,IT,Italy,PM10,12.0,50.0,6,µg/m³,24.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Modugno - EN02
Feature,Point,"[16.766111, 41.107777]",97,Modugno - EN02,RRQA,PUBBLICO,Industriale,Suburbana,Modugno,Bari,IT,Italy,PM2.5,5.0,25.0,5,µg/m³,20.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Modugno - EN02
Feature,Point,"[16.781672, 41.087223]",98,Modugno - EN03,RRQA,PUBBLICO,Industriale,Urbana,Modugno,Bari,IT,Italy,CO,0.4,10.0,0,mg/m³,4.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Modugno - EN03
Feature,Point,"[16.781672, 41.087223]",98,Modugno - EN03,RRQA,PUBBLICO,Industriale,Urbana,Modugno,Bari,IT,Italy,NO2,39.0,200.0,0,µg/m³,20.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Modugno - EN03
Feature,Point,"[16.781672, 41.087223]",98,Modugno - EN03,RRQA,PUBBLICO,Industriale,Urbana,Modugno,Bari,IT,Italy,PM10,17.0,50.0,2,µg/m³,34.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#9acc00,Modugno - EN03
