type,geometry.type,geometry.coordinates,properties.id_station,properties.denominazione,properties.rete,properties.interesse_rete,properties.tipologia_di_stazione,properties.tipologia_di_area,properties.comune,properties.provincia,properties.paese,properties.paese_esteso,properties.inquinante_misurato,properties.valore_inquinante_misurato,properties.limite,properties.superamenti,properties.unita_misura,properties.indice_qualita,properties.data_di_misurazione,properties.responsabile_dato,properties.punto_di_contatto,properties.sorgente,properties.version,properties.marker-color,properties.name
Feature,Point,"[16.781672, 41.087223]",98,Modugno - EN03,RRQA,PUBBLICO,Industriale,Urbana,Modugno,Bari,IT,Italy,CO,,10.0,0,mg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Modugno - EN03
Feature,Point,"[16.781672, 41.087223]",98,Modugno - EN03,RRQA,PUBBLICO,Industriale,Urbana,Modugno,Bari,IT,Italy,NO2,,200.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Modugno - EN03
Feature,Point,"[16.781672, 41.087223]",98,Modugno - EN03,RRQA,PUBBLICO,Industriale,Urbana,Modugno,Bari,IT,Italy,PM10,,50.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Modugno - EN03
Feature,Point,"[16.787777, 41.114445]",99,Modugno - EN04,RRQA,PUBBLICO,Industriale,Suburbana,Modugno,Bari,IT,Italy,CO,,10.0,0,mg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Modugno - EN04
Feature,Point,"[16.787777, 41.114445]",99,Modugno - EN04,RRQA,PUBBLICO,Industriale,Suburbana,Modugno,Bari,IT,Italy,NO2,,200.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Modugno - EN04
Feature,Point,"[16.787777, 41.114445]",99,Modugno - EN04,RRQA,PUBBLICO,Industriale,Suburbana,Modugno,Bari,IT,Italy,PM10,,50.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Modugno - EN04
Feature,Point,"[16.605253, 41.2011]",14,Molfetta - Verdi,RRQA,PUBBLICO,Traffico,Urbana,Molfetta,Bari,IT,Italy,C6H6,,5.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Molfetta - Verdi
Feature,Point,"[16.605253, 41.2011]",14,Molfetta - Verdi,RRQA,PUBBLICO,Traffico,Urbana,Molfetta,Bari,IT,Italy,NO2,,200.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Molfetta - Verdi
Feature,Point,"[16.605253, 41.2011]",14,Molfetta - Verdi,RRQA,PUBBLICO,Traffico,Urbana,Molfetta,Bari,IT,Italy,PM10,,50.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Molfetta - Verdi
Feature,Point,"[17.290285, 40.951168]",66,Monopoli - Aldo Moro,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,C6H6,,5.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Monopoli - Aldo Moro
Feature,Point,"[17.290285, 40.951168]",66,Monopoli - Aldo Moro,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,CO,,10.0,0,mg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Monopoli - Aldo Moro
Feature,Point,"[17.290285, 40.951168]",66,Monopoli - Aldo Moro,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,IPA,,,0,ng/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Monopoli - Aldo Moro
Feature,Point,"[17.290285, 40.951168]",66,Monopoli - Aldo Moro,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,NO2,,200.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Monopoli - Aldo Moro
Feature,Point,"[17.290285, 40.951168]",66,Monopoli - Aldo Moro,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,PM10,,50.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Monopoli - Aldo Moro
Feature,Point,"[17.290285, 40.951168]",66,Monopoli - Aldo Moro,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,PM2.5,,25.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Monopoli - Aldo Moro
Feature,Point,"[17.284267, 40.96158]",92,Monopoli - Liceo Artistico Russo,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,C6H6,,5.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Monopoli - Liceo Artistico Russo
Feature,Point,"[17.284267, 40.96158]",92,Monopoli - Liceo Artistico Russo,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,IPA,,,0,ng/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Monopoli - Liceo Artistico Russo
Feature,Point,"[17.284267, 40.96158]",92,Monopoli - Liceo Artistico Russo,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,NO2,,200.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Monopoli - Liceo Artistico Russo
Feature,Point,"[17.284267, 40.96158]",92,Monopoli - Liceo Artistico Russo,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,PM10,,50.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Monopoli - Liceo Artistico Russo
Feature,Point,"[17.284267, 40.96158]",92,Monopoli - Liceo Artistico Russo,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,PM2.5,,25.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Monopoli - Liceo Artistico Russo
Feature,Point,"[16.70083, 41.061386]",107,Palo del Colle - EN05,RRQA,PRIVATO,Industriale,Suburbana,Palo del Colle,Bari,IT,Italy,CO,,10.0,0,mg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Palo del Colle - EN05
Feature,Point,"[16.70083, 41.061386]",107,Palo del Colle - EN05,RRQA,PRIVATO,Industriale,Suburbana,Palo del Colle,Bari,IT,Italy,NO2,,200.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Palo del Colle - EN05
Feature,Point,"[16.70083, 41.061386]",107,Palo del Colle - EN05,RRQA,PRIVATO,Industriale,Suburbana,Palo del Colle,Bari,IT,Italy,PM10,,50.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Palo del Colle - EN05
Feature,Point,"[16.30394, 41.233276]",63,Andria - Vaccina,RRQA,PUBBLICO,Traffico,Urbana,Andria,BAT,IT,Italy,C6H6,,5.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Andria - Vaccina
Feature,Point,"[16.30394, 41.233276]",63,Andria - Vaccina,RRQA,PUBBLICO,Traffico,Urbana,Andria,BAT,IT,Italy,CO,,10.0,0,mg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Andria - Vaccina
Feature,Point,"[16.30394, 41.233276]",63,Andria - Vaccina,RRQA,PUBBLICO,Traffico,Urbana,Andria,BAT,IT,Italy,NO2,,200.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Andria - Vaccina
